owner,amount,duration,startDate,initialUnlock,requiresSPT
0x52e94E093a162F1D3D5481828cfaB3807Ea32b3A,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x1c0a6fDd52A0c3F18cd6640695884e6248a13533,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x618509C70Bd8b97b78B43c6AF081a55f7225901f,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x3cA93C6c6E3081B26eCA2af4ec2E50d1BA975aE4,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x90A09a9797A04CA679D8F8A6748f728D8f49F34B,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x7238E49003771F9A1bE44585483979c69B6b0F5c,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x23d33956940083e0E92Dd608D6E576AfbEcc83a9,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x772213aaD4c6B37d2cc0Fa3B74F9ace5a028B8C8,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0xcB43AEAA8c029Da18A499dC684FdD250ab3FCd13,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0xf8A17443c1e98535aBe4D6D9Fdb9C99E8D36D87a,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0xfc7d75e4bb6D18591cDc1E766CE7cF231bc08fBc,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0xE1A425b2726D92Bc5178e7F5Ed30256481F5337f,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x322F63e33B35CD227a51ae2B8b7Ef9EB8Ca8A238,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0xe03472CCb8e011b7Dfb3343837D75Bf6C9c3324C,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x48A0e1789C82084aE28c179bd5742454f8CD4ed6,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x7Ca18A55b64c1509d34e964a9e323a6c71e905a2,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x0c8f3E3912F35a59ffddc9Ff1ABB8FafC89b29de,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x0b4c93ffF2273c67533B861A3314D7339331605a,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x99c5fB73f496110456aA8E80aE03C2D7548769c7,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x79Bc5989e6814e3e180938eeC854e91Cec178693,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x2Bb3AA9c0089CDECa4caF98C9A5F527308f2E0CC,909090.909090909000000000,24,2024-03-18,0.10,FALSE
0x5604cdde0626872514b48A336848Fc724fd60810,909090.909090909000000000,24,2024-03-18,0.10,FALSE